employ_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,17-06-87,AD_PRES,24000,,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,18-06-87,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,19-06-87,AD_VP,17000,,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,20-06-87,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,590.423.4568,21-06-87,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,590.423.4569,22-06-87,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,23-06-87,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,24-06-87,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,25-06-87,FI_MGR,12000,,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,26-06-87,FI_ACCOUNT,9000,,108,100
110,John,Chen,JCHEN,515.124.4269,27-06-87,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,28-06-87,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,29-06-87,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,515.124.4567,30-06-87,FI_ACCOUNT,6900,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,01-07-87,PU_MAN,11000,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,02-07-87,PU_CLERK,3100,,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,03-07-87,PU_CLERK,2900,,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,04-07-87,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,05-07-87,PU_CLERK,2600,,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,06-07-87,PU_CLERK,2500,,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,07-07-87,ST_MAN,8000,,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,08-07-87,ST_MAN,8200,,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,09-07-87,ST_MAN,7900,,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-07-87,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11-07-87,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,650.124.1214,12-07-87,ST_CLERK,3200,,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,13-07-87,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,650.124.1334,14-07-87,ST_CLERK,2400,,120,50
128,Steven,Markle,SMARKLE,650.124.1434,15-07-87,ST_CLERK,2200,,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,16-07-87,ST_CLERK,3300,,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,17-07-87,ST_CLERK,2800,,121,50
131,James,Marlow,JAMRLOW,650.124.7234,18-07-87,ST_CLERK,2500,,121,50
132,TJ,Olson,TJOLSON,650.124.8234,19-07-87,ST_CLERK,2100,,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,20-07-87,ST_CLERK,3300,,122,50
134,Michael,Rogers,MROGERS,650.127.1834,21-07-87,ST_CLERK,2900,,122,50
135,Ki,Gee,KGEE,650.127.1734,22-07-87,ST_CLERK,2400,,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,23-07-87,ST_CLERK,2200,,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,24-07-87,ST_CLERK,3600,,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,25-07-87,ST_CLERK,3200,,123,50
139,John,Seo,JSEO,650.121.2019,26-07-87,ST_CLERK,2700,,123,50
140,Joshua,Patel,JPATEL,650.121.1834,27-07-87,ST_CLERK,2500,,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,28-07-87,ST_CLERK,3500,,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,29-07-87,ST_CLERK,3100,,124,50
143,Randall,Matos,RMATOS,650.121.2874,30-07-87,ST_CLERK,2600,,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,31-07-87,ST_CLERK,2500,,124,50
